name,link,difficulty,category
DNA Storage,https://www.codechef.com/practice/course/strings/STRINGS/problems/DNASTORAGE,801,Strings
Wordle,https://www.codechef.com/practice/course/strings/STRINGS/problems/WORDLE,804,Strings
Search an element in an array,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/SEARCHINARR,600,Arrays
Find maximum in an Array,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/UWCOI20A,650,Arrays
Take discount or Not,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/DISCOUNTT,700,Arrays
Check if the array is sorted,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/ARRAYSORTED,Easy,Arrays
Cost of Groceries,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/KITCHENCOST,799,Arrays
MIN To MAX,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/OPMIN,838,Arrays
Single number in multiple numbers,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/SINGLENUM,Easy,Arrays
Running Comparison,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/RUNCOMPARE,899,Arrays
Largest and Second Largest,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/LARGESECOND,928,Arrays
Difficulty Rating Order,https://www.codechef.com/practice/course/arrays/ARRAYS/problems/RATINGINPRAC,930,Arrays
Convert String to Title Case,https://www.codechef.com/practice/course/strings/STRINGS/problems/TITLECASE,900,Arrays
World Chess Championship,https://www.codechef.com/practice/course/strings/STRINGS/problems/WCC,935,Arrays
Add One,https://www.codechef.com/practice/course/strings/STRINGS/problems/ADDONE,940,Arrays
Chef and Happy String,https://www.codechef.com/practice/course/strings/STRINGS/problems/HAPPYSTR,956,Arrays
Blobby Volley Scores,https://www.codechef.com/practice/course/strings/STRINGS/problems/BLOBBYVOLLEY,962,Arrays
Fitness,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/FIT,258,Basic Math
Second Max of Three Numbers,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/SNDMAX,300,Basic Math
Chef and Chocolates,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/CCHOCOLATES,405,Basic Math
Find Remainder,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/FLOW002,421,Basic Math
Candy Store,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/CANDYSTORE,429,Basic Math
Scalene Triangle,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/SCALENE,430,Basic Math
Sum of Digits,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/FLOW006,455,Basic Math
Favourite Numbers,https://www.codechef.com/practice/course/basic-math/BASICMATH/problems/FAVOURITENUM,477,Basic Math
Cricket World Cup Qualifier,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CWC23QUALIF,203,Basic Math
Lucky Seven,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/LUCKYSEVEN,213,Basic Math
Clear Day,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CLEARDAY,233,Basic Math
Double Rent,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DOUBLERENT,234,Basic Math
Saving Taxes,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TAXSAVING,252,Basic Math
Masterchef finals,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TOP10,255,Basic Math
Biryani classes,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BIRYANI,257,Basic Math
Chef Plays Ludo,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/LUDO,260,Basic Math
How many unattempted problems,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PRACLIST,264,Basic Math
Determine the Score,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DETSCORE,267,Basic Math
404 Not Found,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/ERROR404,267,Basic Math
Off By One,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/OFFBY1,271,Basic Math
Donation Drive,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DONDRIVE,272,Basic Math
Kitchen Timings,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/KITCHENTIME,273,Basic Math
IPL Ticket Rush,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/IPLTRSH,273,Basic Math
Audible Range,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AUDIBLE,279,Basic Math
Reach on Time,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TIMELY,279,Basic Math
Puzzle Hunt,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PUZHUNT,279,Basic Math
Bone Appetit,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BNE_APT,280,Basic Math
Who is taller!,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TALLER,281,Basic Math
Reach the Target,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/REACHTARGET,281,Basic Math
Best of Two,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BESTOFTWO,284,Basic Math
2000,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/RIP2000,284,Basic Math
Roller Coaster,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MINHEIGHT,285,Basic Math
Candy Division,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CANDIVIDE,289,Basic Math
Chef On Date,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CHEFONDATE,294,Basic Math
Parity,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PAR2,295,Basic Math
Total Prize Money,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PRIZEPOOL,296,Basic Math
Counting Words,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CNTWRD,296,Basic Math
Battery Health,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BTRYHLTH,296,Basic Math
Tom and Jerry Chase,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/JERRYCHASE,298,Basic Math
Ageing,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AGEING,299,Basic Math
Right There,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/RIGHTTHERE,299,Basic Math
Second Max of Three Numbers,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SNDMAX,300,Basic Math
Bull or Bear,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BULLBEAR,300,Basic Math
Four Tickets,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FOURTICKETS,302,Basic Math
Chairs Requirement,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CHAIRS_,305,Basic Math
Chef and Donation,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DNATION,305,Basic Math
Sum it,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SUMM,308,Basic Math
Get Subscription,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SUBSCRIBE,315,Basic Math
Messi vs Ronaldo,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MVR,316,Basic Math
Waiting Time,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/WAITTIME,319,Basic Math
October Marathon,https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/OCTATHON,319,Basic Math
